logwage,educ,exper,fe,married,age,south,nonwh,hisp,union
2.6037,18,14,0,1,38,0,0,0,1
1.9095,12,22,0,0,40,0,0,0,0
2.6593,14,32,1,1,52,0,0,0,0
2.2773,15,9,1,1,30,0,0,0,0
1.209,12,0,1,0,18,0,0,0,0
1.2238,8,49,1,0,63,0,0,0,0
1.7272,14,32,1,1,52,0,0,0,0
1.9459,12,7,0,1,25,0,0,0,1
2.3026,16,10,1,1,32,0,0,0,0
1.8083,10,44,1,0,60,0,0,0,1
1.4279,12,27,1,1,45,0,0,0,0
1.5686,12,16,1,1,34,0,0,0,0
1.7492,12,3,0,1,21,0,0,0,0
1.5581,12,8,0,1,26,0,0,0,0
2.238,17,7,0,1,30,0,0,0,1
1.6582,12,8,1,0,26,0,0,0,0
1.5994,9,42,1,1,57,0,0,0,0
2.964,16,11,1,1,33,0,0,0,0
2.9947,12,23,0,1,41,0,0,0,0
1.3863,12,4,0,0,22,0,0,0,0
1.6094,12,0,1,0,18,0,0,0,0
2.359,14,25,0,1,45,0,0,0,0
2.3026,12,22,0,0,40,0,1,0,1
1.9981,14,15,1,0,35,0,0,1,0
2.5257,15,10,0,0,31,0,0,0,0
1.3863,16,20,1,0,42,0,0,0,0
2.7101,12,24,1,1,42,0,0,0,0
2.7726,12,12,0,1,30,1,0,0,0
1.2698,12,12,1,0,30,1,0,1,0
1.5041,12,16,0,0,34,1,0,1,0
1.5151,12,4,1,0,22,1,0,1,0
1.2809,12,43,1,1,61,1,0,1,0
2.0794,12,14,1,1,32,1,0,0,0
1.5581,12,10,1,0,28,1,0,0,0
1.9066,12,2,0,1,20,1,0,0,0
2.4079,12,28,0,1,46,1,0,0,0
1.7918,7,15,1,1,28,1,0,0,0
2.3026,12,20,0,1,38,1,0,0,0
2.4204,12,30,1,1,48,1,0,1,0
1.3737,12,9,1,1,27,1,0,0,0
2.8622,16,13,0,1,35,1,1,0,0
1.2669,13,1,1,0,20,1,0,0,0
1.7918,16,8,0,0,30,1,0,0,0
3.091,14,15,0,1,35,1,0,0,0
1.8326,12,6,1,0,24,1,0,0,0
1.5041,7,14,0,1,27,1,0,1,0
2.3341,13,28,1,0,47,1,0,0,0
2.5014,14,10,0,1,30,1,0,0,0
2.8994,17,14,0,0,37,1,0,0,0
2.708,16,10,0,1,32,1,0,0,0
2.1691,13,10,1,1,29,1,0,0,0
2.9947,14,44,0,1,64,1,0,0,0
1.8971,16,10,1,0,32,0,0,0,1
2.2644,14,22,0,1,42,0,0,0,1
1.7047,11,18,0,1,35,0,0,0,1
2.0794,12,9,1,0,27,0,0,0,0
2.9957,18,19,1,1,43,0,0,0,0
2.2513,17,14,1,1,37,0,0,0,0
2.4672,16,6,1,0,28,0,0,0,1
2.6311,16,17,1,0,39,0,0,0,0
1.7047,11,24,1,1,41,0,0,0,0
1.9459,11,12,1,0,29,0,0,0,0
2.267,12,38,1,1,56,0,0,0,0
2.3618,15,33,1,0,54,0,0,0,0
2.4849,14,10,1,1,30,0,0,0,0
2.1471,14,14,1,1,34,0,0,0,0
2.7813,14,16,0,0,36,0,0,0,0
1.3218,11,11,0,0,28,0,0,0,0
2.1972,16,6,1,1,28,0,1,0,0
2.5745,12,33,1,1,51,0,1,0,0
2.5802,16,10,0,0,32,0,0,0,0
2.2246,12,19,0,0,37,0,0,0,0
1.6094,12,4,0,0,22,0,0,1,0
1.7918,17,3,1,0,26,0,0,0,1
1.9459,12,32,1,1,50,0,0,0,0
1.5476,8,19,0,1,33,0,0,0,0
2.0149,16,22,1,1,44,0,0,0,0
1.9459,18,33,0,1,57,0,0,0,0
2.4174,18,19,0,1,43,0,0,0,0
1.743,18,3,0,1,27,0,0,0,0
1.7047,12,12,0,1,30,0,0,0,0
2.1972,12,16,0,1,34,0,0,0,0
1.4171,12,4,1,1,22,0,0,0,0
2.3026,12,11,0,1,29,0,0,0,1
2.0149,12,17,0,1,35,0,0,0,0
1.2947,11,16,0,0,33,0,0,0,0
2.1848,12,18,0,1,36,0,0,0,0
2.8904,18,15,0,1,39,0,0,0,0
1.209,14,0,0,0,20,0,1,0,0
2.599,16,8,0,0,30,0,1,0,0
3.1135,16,17,0,1,39,0,0,0,0
2.9444,18,13,0,0,37,0,0,0,0
2.1894,12,18,1,1,36,0,0,0,0
1.9459,11,16,1,1,33,0,1,0,0
1.4271,14,24,1,0,44,0,0,0,0
2.2854,12,23,0,1,41,0,0,0,0
1.8971,12,1,0,0,19,0,0,0,0
1.9459,12,10,1,1,28,0,0,0,1
1.291,12,42,1,1,60,0,0,0,0
3.1279,18,37,1,0,61,0,0,0,0
1.6094,12,14,1,1,32,0,0,0,0
3.1135,18,14,0,1,38,0,0,0,0
2.4849,12,11,1,1,29,0,0,0,0
1.8374,12,38,1,1,56,0,0,0,0
1.5041,12,3,1,0,21,0,0,0,0
1.7918,12,9,0,1,27,0,0,0,0
1.9095,10,13,0,1,29,0,0,0,0
2.1691,12,9,0,0,27,0,0,0,0
2.5859,16,11,0,1,33,0,0,0,0
1.8326,13,30,1,1,49,0,0,0,0
2.1961,12,15,1,0,33,0,0,0,1
2.0149,14,2,0,0,22,0,0,0,0
2.4849,17,24,1,1,47,0,0,0,0
2.6391,18,31,1,0,55,0,0,0,1
2.7988,14,19,0,0,39,0,0,0,0
1.8326,14,2,0,0,22,0,0,0,0
2.3514,12,4,0,1,22,0,0,0,1
2.2513,9,46,1,1,61,0,0,0,1
1.0986,6,43,1,1,55,0,0,1,1
2.2214,14,13,1,1,33,0,0,0,0
1.3863,12,15,1,0,33,0,0,0,0
1.335,12,16,1,0,34,0,0,0,0
1.7918,12,19,1,1,37,0,0,0,0
1.6094,12,28,1,1,46,0,0,0,0
2.708,12,42,0,1,60,0,0,0,0
1.7138,11,45,1,0,62,0,0,0,1
2.1972,16,7,0,1,29,0,1,0,0
3.2179,17,31,0,1,54,0,0,0,0
2.1389,12,24,1,1,42,0,0,0,0
1.6094,14,17,1,1,37,0,0,1,0
3.1001,12,26,0,1,44,0,0,0,1
2.2235,16,5,0,1,27,0,1,0,1
2.0794,16,17,1,1,39,0,0,1,0
1.2528,10,33,1,0,49,1,0,0,0
1.209,13,2,1,1,21,1,0,0,0
1.209,16,14,1,1,36,1,1,0,0
2.9957,16,28,1,1,50,1,0,0,1
1.3863,12,46,1,0,64,1,0,0,0
2.8904,16,38,0,1,60,1,0,0,0
1.5041,13,0,1,0,19,1,0,0,0
2.0557,12,1,1,0,19,1,0,0,0
0.5596,12,5,1,1,23,1,0,0,0
1.6487,18,13,1,1,37,1,0,1,0
2.1691,10,19,0,0,35,1,0,0,0
1.6094,12,5,0,1,23,1,0,0,0
1.3218,12,6,1,1,24,1,1,0,0
1.7834,13,9,0,1,28,1,0,0,0
1.3863,12,7,0,0,25,1,0,1,0
1.9459,3,55,0,1,64,1,0,1,0
1.6094,17,1,1,0,24,1,0,0,0
1.5304,6,33,1,0,45,1,1,0,0
1.7492,12,21,1,1,39,1,0,0,0
3.2179,18,29,0,1,53,0,0,0,0
2.7593,18,7,0,1,31,0,0,0,0
2.7444,16,10,0,0,32,0,0,0,0
1.209,16,9,0,0,31,0,0,0,0
2.8994,18,7,0,1,31,0,0,0,0
2.0794,18,33,0,0,57,0,0,0,1
1.7918,13,31,0,0,50,0,0,0,0
2.8478,18,5,0,1,29,0,0,0,0
1.7047,16,2,1,0,24,0,0,0,0
2.0347,12,20,0,0,38,0,0,0,0
1.8326,16,4,0,0,26,0,1,0,0
1.8563,12,45,1,1,63,0,0,0,0
1.8839,12,24,1,1,42,0,0,0,0
2.5257,12,43,0,1,61,0,0,0,0
2.5903,18,10,0,1,34,0,0,0,0
1.7047,12,3,0,0,21,0,0,0,0
2.4204,15,5,0,0,26,0,0,0,0
2.3632,12,45,1,0,63,0,0,0,0
2.0794,12,43,1,1,61,0,1,0,1
2.3224,17,26,1,1,49,0,0,0,1
1.7561,12,42,1,1,60,0,0,0,0
1.9879,12,37,0,1,55,0,0,0,0
2.3514,13,14,1,1,33,0,0,0,0
2.2364,12,8,0,1,26,0,0,0,0
1.6487,12,24,1,1,42,0,0,0,0
1.4469,12,20,1,1,38,0,0,0,0
2.7695,17,13,1,0,36,0,0,0,1
3.1135,15,12,0,1,33,0,0,0,0
1.6094,16,4,1,1,26,1,0,0,0
1.6677,12,14,0,1,32,1,1,0,0
1.8326,18,14,0,1,38,1,0,0,0
2.3026,18,13,1,0,37,1,0,0,0
1.7047,12,20,0,1,38,1,0,0,0
1.9169,9,30,1,1,45,1,0,0,0
1.0986,12,28,1,1,46,1,0,0,0
2.3026,16,14,0,1,36,1,0,0,1
1.579,10,13,0,0,29,1,0,0,0
2.2425,12,32,0,1,50,1,0,0,0
1.7918,15,26,1,0,47,1,0,0,0
1.4469,13,0,1,0,19,1,0,0,0
2.3997,14,12,0,1,32,1,0,0,1
2.4982,12,32,1,1,50,1,1,0,0
2.1318,12,12,0,1,30,1,0,0,0
2.4361,12,3,0,0,21,1,0,0,0
2.9947,9,29,0,1,44,1,0,0,0
1.9279,14,10,1,0,30,1,0,0,0
1.743,12,16,1,1,34,0,0,0,1
1.209,12,8,1,1,26,0,0,0,0
1.579,9,16,1,1,31,0,0,0,0
1.7492,12,15,1,1,33,0,0,0,0
1.6864,12,18,1,1,36,0,0,0,0
2.577,12,38,1,1,56,0,0,0,0
2.4262,12,13,1,1,31,0,0,0,0
2.1691,13,18,0,1,37,0,0,0,0
2.5031,12,19,0,1,37,0,0,0,1
1.6582,10,15,0,1,31,0,0,0,0
1.7148,14,5,0,0,25,1,0,0,0
1.5239,12,36,1,1,54,1,0,0,0
2.0149,12,38,0,1,56,1,0,0,0
2.4849,12,5,0,0,23,1,0,0,0
2.7726,12,35,0,1,53,1,0,0,1
1.209,11,3,0,0,20,1,1,0,0
1.4929,10,27,0,0,43,1,0,0,0
1.4469,12,29,1,1,47,1,0,0,0
2.5726,10,38,1,1,54,1,1,0,0
1.9459,10,9,0,1,25,1,0,0,0
1.7492,6,45,0,1,57,1,0,0,0
1.8718,8,27,0,1,41,1,0,0,0
2.0293,12,20,0,1,38,1,1,0,0
3.0204,16,14,0,1,36,1,0,0,1
1.8326,12,1,0,0,19,1,0,0,0
1.3455,11,25,1,1,42,1,1,0,0
2.8124,14,21,0,1,41,1,0,0,0
2.4204,17,10,1,0,33,0,0,0,0
1.7317,14,2,0,0,22,0,0,0,0
1.8718,11,17,0,0,34,0,0,0,0
2.0477,12,24,1,1,42,0,0,0,0
1.9359,12,26,0,1,44,0,0,0,1
2.708,12,39,0,1,57,0,0,0,1
1.9459,7,42,0,1,55,0,1,0,1
1.209,7,43,0,1,56,1,0,0,0
1.8718,12,5,0,0,23,1,0,0,0
1.8326,16,7,1,1,29,1,0,1,0
1.6094,13,6,1,1,25,1,0,0,0
1.2384,13,1,1,0,20,1,1,0,0
2.1748,14,41,0,1,61,1,0,0,0
2.3026,16,4,1,1,26,1,0,0,0
1.3863,11,25,1,1,42,1,0,0,1
2.2513,12,39,1,1,57,1,0,0,0
2.3447,14,15,1,1,35,1,0,0,0
1.6506,18,10,0,1,34,1,0,0,0
2.0149,12,20,1,0,38,1,0,0,0
1.9459,17,2,0,1,25,1,0,0,0
2.3777,11,28,0,1,45,1,1,0,1
2.1861,10,27,0,1,43,1,0,0,1
1.3218,16,13,1,0,35,1,0,0,0
1.3218,15,4,0,0,25,1,0,0,0
2.246,12,13,0,0,31,0,0,0,0
2.708,12,33,0,1,51,0,0,0,1
1.2809,12,6,1,0,24,0,0,0,0
2.4849,18,23,0,1,47,0,0,0,1
2.3632,16,6,1,1,28,0,0,0,0
2.6391,16,16,1,1,38,0,0,0,0
1.6094,16,3,0,0,25,0,0,0,1
2.4423,12,19,0,0,37,0,0,0,1
2.6181,12,43,0,1,61,0,0,0,1
2.3632,12,34,0,1,52,1,0,0,0
2.0082,12,25,1,0,43,1,0,0,0
1.9095,10,41,0,1,57,1,1,0,1
1.7707,17,6,1,0,29,1,1,0,0
1.2321,12,2,0,0,20,1,1,0,0
1.4702,8,37,1,1,51,1,1,0,0
2.5649,12,19,0,1,37,1,1,0,1
2.6391,5,44,0,1,55,1,0,0,0
1.2566,10,37,1,1,53,1,1,0,0
1.4586,13,8,0,0,27,1,0,0,0
1.767,18,12,0,1,36,1,0,0,0
1.7918,12,8,0,0,26,0,0,0,0
2.3979,16,13,0,1,35,0,0,0,1
3.0564,13,32,0,0,51,0,0,0,0
2.6759,16,18,0,1,40,0,0,0,0
1.9242,12,8,0,0,26,0,1,0,0
2.3026,16,0,1,0,18,0,0,0,0
2.3026,16,7,1,1,29,0,0,0,0
3.2179,16,5,1,0,27,1,0,0,0
1.3218,12,17,1,1,35,1,0,0,0
1.8718,11,39,0,1,56,1,0,0,0
1.6094,12,4,0,0,22,1,0,0,0
1.5151,8,45,1,0,59,1,0,0,0
1.8718,12,8,0,0,26,0,0,0,0
2.3585,16,9,0,0,31,0,0,0,0
2.2576,12,23,0,1,41,0,0,0,0
2.4849,16,14,1,1,36,0,0,0,0
2.1401,12,16,1,0,34,0,0,0,0
1.411,12,15,1,1,33,0,0,0,0
1.5041,12,15,1,0,33,0,0,0,0
2.4423,16,16,0,1,38,0,0,0,0
2.1861,14,13,0,0,33,0,0,0,0
2.6539,11,15,0,0,32,0,0,0,1
2.6137,16,11,0,1,33,0,0,0,0
3.1001,18,40,1,0,64,0,0,0,0
2.708,18,11,1,1,35,0,0,0,0
2.0869,13,17,0,1,36,1,0,0,0
1.9095,12,12,0,1,30,1,0,0,0
1.5041,11,14,0,1,31,1,1,0,0
1.9459,12,26,1,1,44,1,0,0,0
2.0149,12,27,1,1,45,1,1,0,0
2.0149,12,16,1,1,34,1,0,0,0
2.1401,12,2,0,0,20,1,1,0,0
2.0794,7,44,0,1,57,1,0,0,0
1.2528,8,8,0,1,22,1,0,1,0
2.5257,12,9,0,1,27,1,0,0,0
1.7918,12,1,0,0,19,1,0,1,1
1.6582,16,2,1,0,24,1,0,0,0
1.6094,12,6,0,0,24,1,0,0,0
1.2528,11,17,1,1,34,1,0,0,0
2.3979,14,14,0,1,34,1,0,0,1
2.0149,12,3,0,0,21,0,0,0,0
2.1401,12,13,0,1,31,0,0,0,0
2.5257,12,11,0,0,29,0,0,0,0
2.3749,12,24,0,1,42,0,0,0,1
2.5257,12,14,1,1,32,0,0,0,1
2.0541,17,7,0,1,30,0,0,0,0
2.4849,17,13,0,1,36,0,0,0,0
1.209,12,10,1,1,28,1,1,0,0
2.9895,12,13,0,1,31,1,0,0,1
1.7918,13,7,0,1,26,1,0,0,0
1.4398,8,39,1,1,53,1,0,0,0
1.2528,14,6,1,1,26,1,0,0,0
2.4849,12,20,0,1,38,1,0,0,1
1.209,12,7,1,1,25,0,0,0,0
2.1972,12,20,0,1,38,0,0,0,1
1.3813,14,6,1,0,26,0,0,0,0
1.6094,12,39,1,1,57,0,0,0,0
2.539,16,15,0,1,37,0,0,0,0
2.8478,15,31,0,1,52,0,0,0,0
2.2513,12,25,1,0,43,0,0,0,0
2.6391,11,13,0,1,30,0,0,0,1
2.1401,12,8,0,1,26,0,1,0,1
1.4469,12,2,1,1,20,0,0,0,0
1.7579,16,14,0,1,36,0,0,0,0
2.4204,13,14,0,1,33,0,0,0,0
2.4849,18,18,1,1,42,0,0,0,1
2.4204,12,28,1,1,46,0,0,0,0
2.0149,16,10,0,1,32,0,0,0,1
2.1041,14,17,0,0,37,1,1,0,0
1.579,12,14,1,1,32,1,0,0,0
1.5581,12,2,1,1,20,1,0,0,0
1.7047,16,29,0,1,51,1,0,0,0
2.2513,11,29,0,1,46,1,0,0,0
2.2618,12,14,1,1,32,1,0,0,0
1.5151,13,33,1,1,52,0,0,0,0
2.7558,16,4,0,1,26,0,0,0,0
2.2885,15,13,0,1,34,0,0,0,0
2.3026,14,24,1,0,44,0,0,0,0
1.7579,13,5,0,0,24,0,0,0,0
2.0186,14,1,0,0,21,1,0,0,0
2.2773,11,37,0,1,54,1,0,0,1
2.5649,11,18,0,1,35,1,0,0,1
2.3302,15,10,1,1,31,1,0,0,0
2.599,12,16,0,1,34,1,0,0,1
2.5313,12,12,0,1,30,0,0,0,1
2.1552,14,4,1,0,24,0,0,0,0
2.5848,12,16,0,1,34,0,0,0,1
1.9242,14,34,0,1,54,0,1,0,1
2.5233,13,10,0,1,29,0,0,0,1
1.9661,14,17,0,1,37,0,0,0,0
2.5257,13,16,1,1,35,0,0,0,0
2.3026,10,20,0,1,36,0,0,0,0
2.3026,10,12,0,1,28,0,0,0,0
2.1691,12,30,0,1,48,0,0,0,0
2.238,16,26,1,1,48,0,0,0,0
2.4079,13,13,0,1,32,0,0,0,0
1.6292,8,21,1,1,35,0,0,1,0
2.0149,11,3,0,0,20,0,1,0,0
1.2238,8,29,1,1,43,0,1,0,0
1.5041,12,3,1,1,21,0,0,0,0
1.8326,18,27,0,1,51,0,1,0,0
3.0229,12,33,0,1,51,0,0,0,0
2.1282,13,17,0,0,36,0,0,0,0
2.0794,12,15,1,1,33,0,0,0,0
2.1401,9,38,0,1,53,0,0,0,0
1.3218,12,9,0,0,27,0,0,0,0
2.1972,12,10,0,1,28,0,0,0,0
2.4891,16,6,1,0,28,0,0,0,0
1.5041,12,7,1,1,25,0,0,0,0
1.5686,9,16,0,0,31,0,1,0,0
1.8718,10,30,0,1,46,0,0,0,0
2.0398,12,19,0,1,37,0,0,0,0
2.2336,12,15,1,0,33,0,0,0,0
1.6094,12,12,0,1,30,0,1,0,0
1.8083,12,33,1,1,51,0,1,0,0
2.3674,12,36,0,0,54,0,1,0,0
1.2528,12,25,1,0,43,0,1,0,0
2.3026,12,35,0,1,53,0,1,0,1
2.1972,13,8,0,0,27,0,1,0,1
2.0149,12,23,1,1,41,1,1,0,0
1.743,18,7,0,0,31,1,0,0,0
2.1401,17,3,0,0,26,1,0,0,0
1.3863,12,8,0,1,26,1,1,0,0
1.7492,9,34,1,1,49,1,1,0,1
1.6582,12,2,0,0,20,0,0,0,0
1.2528,12,34,0,1,52,0,0,0,0
1.5041,11,2,0,0,19,0,0,0,0
1.7047,12,11,1,0,29,0,0,0,0
1.8326,13,4,1,1,23,0,0,0,0
2.1848,16,22,1,1,44,0,0,0,1
1.6582,12,45,1,1,63,0,0,0,0
2.3273,14,26,1,1,46,0,0,0,0
1.8326,14,12,1,1,32,0,0,0,0
1.4702,12,3,1,1,21,0,0,0,0
2.8824,13,36,0,0,55,0,0,0,0
2.0149,12,9,1,1,27,0,0,0,1
1.8326,16,7,1,1,29,0,0,0,0
1.5041,14,14,0,1,34,0,0,0,0
1.8563,12,6,1,0,24,0,0,0,0
1.5766,15,1,0,1,22,0,0,0,1
1.4231,11,4,0,1,21,0,0,0,0
1.6351,12,5,1,1,23,0,0,0,0
1.6601,8,38,1,1,52,0,0,0,0
2.0513,16,6,1,1,28,0,0,0,0
2.5703,13,9,0,0,28,0,0,0,1
2.0794,13,15,1,1,34,0,0,0,0
2.0369,15,11,1,1,32,0,0,0,0
2.0149,12,17,0,0,35,0,0,0,0
1.0473,12,1,0,0,19,0,0,0,0
1.8506,12,9,0,1,27,0,0,0,0
1.2528,9,48,0,0,63,0,0,0,0
2.4292,12,17,0,1,35,0,0,0,1
1.7047,12,33,1,1,51,0,0,0,0
2.2138,12,7,0,1,25,0,0,0,0
2.0744,14,12,1,1,32,0,0,0,0
1.7317,16,6,1,1,28,0,0,0,0
1.7918,4,54,0,1,64,0,0,0,0
2.599,16,16,0,0,38,1,1,0,0
1.2947,11,8,1,1,25,1,0,0,0
1.8326,9,30,0,0,45,1,0,0,1
1.639,13,1,0,0,20,1,0,0,1
3.2692,17,32,0,1,55,1,0,0,0
0.6981,13,0,0,0,19,1,0,0,0
1.6094,12,26,1,0,44,1,0,0,0
2.1691,11,36,1,0,53,0,0,0,0
2.5257,14,19,1,1,39,0,0,0,0
1.3863,12,12,0,0,30,0,0,0,0
1.5041,16,21,0,1,43,0,0,0,0
1.8718,12,11,1,0,29,0,0,0,0
1.7047,12,10,0,1,28,0,0,0,0
1.9279,17,15,1,1,38,0,0,0,0
1.8165,16,16,1,0,38,0,0,0,0
2.0513,12,23,0,1,41,0,0,0,0
2.5257,17,13,1,1,36,0,0,0,1
2.1804,14,19,1,1,39,0,1,0,1
1.4702,11,20,1,1,37,0,0,0,0
2.4304,18,5,0,0,29,0,0,0,0
2.1894,8,47,0,1,61,0,0,1,1
1.2528,11,33,1,1,50,0,0,0,0
3.2581,14,21,0,1,41,0,0,0,1
2.0794,12,19,1,1,37,0,0,0,0
2.7726,14,20,0,1,40,0,0,0,1
1.6771,12,13,1,1,31,0,0,0,0
3.1463,17,25,1,1,48,0,1,0,1
2.1552,12,18,1,1,36,0,1,0,0
2.9178,14,13,1,0,33,0,0,0,0
3.1001,18,8,0,1,32,0,0,0,0
2.7887,12,14,0,0,32,0,1,0,1
2.9689,12,9,0,0,27,0,0,0,0
